,BRANDNAME_1,RATING_1,PRICE_1
0,"APPLE iPhone 13 Pro Max (Silver, 512 GB)",4.7,"₹1,59,900"
1,"APPLE iPhone 13 Pro Max (Silver, 256 GB)",4.7,"₹1,39,900"
2,"APPLE iPhone 13 Pro Max (Sierra Blue, 512 GB)",4.7,"₹1,59,900"
3,"APPLE iPhone 13 Pro Max (Graphite, 256 GB)",4.7,"₹1,39,900"
4,"APPLE iPhone 13 Pro Max (Gold, 512 GB)",4.7,"₹1,59,900"
5,"APPLE iPhone 13 Pro Max (Sierra Blue, 128 GB)",4.7,"₹1,29,900"
6,"APPLE iPhone 13 Pro Max (Silver, 128 GB)",4.7,"₹1,29,900"
7,"APPLE iPhone 13 Pro Max (Graphite, 512 GB)",4.7,"₹1,59,900"
8,"APPLE iPhone 13 Pro Max (Sierra Blue, 256 GB)",4.7,"₹1,39,900"
9,"APPLE iPhone 13 Pro Max (Graphite, 128 GB)",4.7,"₹1,29,900"
10,"APPLE iPhone 13 Pro Max (Silver, 1 TB)",4.7,"₹1,79,900"
11,"APPLE iPhone 13 Pro Max (Gold, 256 GB)",4.7,"₹1,39,900"
12,"APPLE iPhone 13 Pro Max (Sierra Blue, 1 TB)",4.7,"₹1,79,900"
13,"APPLE iPhone 13 Pro Max (Graphite, 1 TB)",4.7,"₹1,79,900"
14,"APPLE iPhone 13 Pro Max (Gold, 128 GB)",4.7,"₹1,29,900"
15,"APPLE iPhone 13 Pro Max (Gold, 1 TB)",4.7,"₹1,79,900"
16,"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)",4.7,"₹1,17,100"
17,"APPLE iPhone 12 Pro Max (Gold, 512 GB)",4.6,"₹1,49,900"
18,"APPLE iPhone 11 Pro Max (Silver, 64 GB)",4.7,"₹1,17,100"
19,"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)",4.6,"₹1,19,900"
